book_id,book_title,book_author,book_publisher,book_date
1,Guinea Pig: Flowers of Flesh and Blood (Za ginipiggu 2: Chiniku no hana),Moses,Voonte,1976-03-28
2,Screamtime,Caresa,Avamba,1993-10-21
3,You Can't Win 'Em All,Deena,Myworks,1978-11-30
4,Batman Beyond: Return of the Joker,Fernando,Quimba,2013-11-27
5,Ouija,Shena,Shuffledrive,1993-07-25
6,Miss Meadows,Camellia,Bubbletube,1988-04-15
7,"Wraith, The",Rosina,Oozz,2019-07-21
8,Seems Like Old Times,Karin,Demizz,1985-09-02
9,Valentin (Valentín),Idette,Meemm,2016-07-08
10,"Otra Familia, La",Rosette,Jaxbean,2014-04-29
11,The Voice of the Moon,Erv,Rhyzio,2002-09-01
12,"Sport, Sport, Sport",Alyson,Yadel,1982-11-27
13,Bride of Chucky (Child's Play 4),Tanhya,Demimbu,2001-04-12
14,"Topo, El",Reginald,Dynabox,1990-10-12
15,Brink of Life (Nära livet),Modesta,Yombu,2013-11-06
16,Girlhood,Guthrey,Yambee,2017-09-13
17,Taking Off,Janie,Ntags,1998-07-20
18,Stalin,Cristiano,Skinix,1983-06-09
19,HE Who Gets Slapped,Aile,Trudoo,1989-08-08
20,Retribution (Sakebi),Lib,Dabfeed,1962-04-28
21,"Winged Migration (Peuple migrateur, Le)",Nicol,Gabspot,1967-09-01
22,Tarzan's New York Adventure,Leesa,Innojam,1966-10-25
23,"Roaring Twenties, The",Tamarra,Zava,2004-06-16
24,Rage in Heaven,Joane,Quimba,1998-08-31
25,"Colour of Magic, The (Terry Pratchett's The Colour of Magic)",Hermy,Demimbu,2010-10-28
26,Fear and Trembling (Stupeur et tremblements),Gwendolyn,Meetz,1993-11-21
27,The Hire: Ambush,Curtice,Snaptags,2007-02-04
28,Tortilla Soup,Zandra,Dabfeed,1969-08-17
29,Japon (a.k.a. Japan) (Japón),Faina,Youfeed,1996-07-08
30,City of Ember,Renata,Yambee,1966-06-26
31,"Perks of Being a Wallflower, The",Emmalee,Quatz,1994-05-29
32,Surplus: Terrorized Into Being Consumers,Haily,Abata,2005-09-24
33,Naked Violence,Dov,Innotype,2011-04-10
34,Dear Diary (Caro Diario),Averil,Jetwire,1989-02-08
35,Magic Camp,Charity,Npath,2006-02-02
36,Night Moves,Aldus,Tazz,2010-10-14
37,Mr. Holland's Opus,Marice,Miboo,1983-05-05
38,My Best Enemy (Mi mejor enemigo),Marchall,Dynava,1994-02-15
39,Back in the Day,Clementine,Riffpedia,2001-03-22
40,"Fist of Fury (Chinese Connection, The) (Jing wu men)",Lynnet,Rhyzio,1998-04-18
41,Tremors,Isadora,Oyoba,1974-08-01
42,La discrète,Peta,Bubblebox,1997-08-08
43,"Lodger: A Story of the London Fog, The",Gwenette,Tagpad,2021-05-14
44,Bobby Deerfield,Evita,Topdrive,1996-10-26
45,Outlaw of Gor,Shepard,Talane,2002-08-07
46,Fulltime Killer (Chuen jik sat sau),Andriette,Trilith,2010-03-29
47,"Hitcher, The",Stacee,Yakidoo,1985-10-08
48,Courageous,Rowe,Photospace,2021-04-03
49,Campus Man,Blair,Skyba,1962-08-23
50,Buried Alive II,Maurizia,Brainlounge,2011-01-28
